# x1 x2 f1 f2
-3.838384 0.282828 2.604382 45.625636
-3.838384 0.363636 2.656621 44.910545
-3.838384 0.444444 2.721921 44.156274
-3.838384 0.525253 2.800280 43.362823
-3.838384 0.606061 2.891699 42.530193
-3.838384 0.686869 2.996178 41.658383
-3.838384 0.767677 3.113717 40.747393
-3.838384 0.848485 3.244316 39.797223
-3.838384 0.929293 3.387975 38.807874
-3.838384 1.010101 3.544694 37.779345
-3.838384 1.090909 3.714472 36.711637
-3.838384 1.171717 3.897311 35.604749
-3.838384 1.252525 4.093209 34.458681
-3.838384 1.333333 4.302168 33.273433
-3.838384 1.414141 4.524186 32.049006
-3.838384 1.494949 4.759264 30.785399
-3.838384 1.575758 5.007402 29.482613
-3.838384 1.656566 5.268600 28.140647
-3.838384 1.737374 5.542857 26.759501
-3.838384 1.818182 5.830175 25.339175
-3.838384 1.898990 6.130552 23.879670
-3.838384 1.979798 6.443990 22.380985
-3.838384 2.060606 6.770487 20.843120
-3.838384 2.141414 7.110044 19.266076
-3.838384 2.222222 7.462661 17.649852
-3.838384 2.303030 7.828338 15.994448
-3.838384 2.383838 8.207075 14.299865
-3.838384 2.464646 8.598872 12.566102
-3.838384 2.545455 9.003729 10.793160
-3.838384 2.626263 9.421645 8.981037
-3.838384 2.707071 9.852622 7.129735
-3.838384 2.787879 10.296658 5.239254
-3.838384 2.868687 10.753754 3.309592
-3.838384 2.949495 11.223910 1.340751
-3.838384 3.030303 11.707126 -0.667270
-3.838384 3.111111 12.203402 -2.714470
-3.838384 3.191919 12.712738 -4.800850
-3.838384 3.272727 13.235134 -6.926410
-3.838384 3.353535 13.770589 -9.091149
-3.838384 3.434343 14.319105 -11.295068
-3.838384 3.515152 14.880680 -13.538167
-3.838384 3.595960 15.455315 -15.820445
-3.838384 3.676768 16.043010 -18.141904
-3.838384 3.757576 16.643765 -20.502541
-3.838384 3.838384 17.257580 -22.902359
-3.838384 3.919192 17.884455 -25.341356
-3.838384 4.000000 18.524390 -27.819533

-3.757576 -4.000000 18.230569 25.064837
-3.757576 -3.919192 17.590635 26.443312
-3.757576 -3.838384 16.963760 27.782608
-3.757576 -3.757576 16.349945 29.082723
-3.757576 -3.676768 15.749190 30.343659
-3.757576 -3.595960 15.161495 31.565416
-3.757576 -3.515152 14.586860 32.747993
-3.757576 -3.434343 14.025284 33.891390
-3.757576 -3.353535 13.476769 34.995607
-3.757576 -3.272727 12.941313 36.060645
-3.757576 -3.191919 12.418918 37.086503
-3.757576 -3.111111 11.909582 38.073181
-3.757576 -3.030303 11.413306 39.020680
-3.757576 -2.949495 10.930090 39.928999
-3.757576 -2.868687 10.459934 40.798139
-3.757576 -2.787879 10.002838 41.628098
-3.757576 -2.707071 9.558801 42.418878
-3.757576 -2.626263 9.127825 43.170479
-3.757576 -2.545455 8.709908 43.882899
-3.757576 -2.464646 8.305052 44.556140
-3.757576 -2.383838 7.913255 45.190202
-3.757576 -2.303030 7.534518 45.785083
-3.757576 -2.222222 7.168841 46.340785
-3.757576 -2.141414 6.816224 46.857308
-3.757576 -2.060606 6.476667 47.334650
-3.757576 -1.979798 6.150170 47.772813
-3.757576 -1.898990 5.836732 48.171796
-3.757576 -1.818182 5.536355 48.531600
-3.757576 -1.737374 5.249037 48.852224
-3.757576 -1.656566 4.974779 49.133668
-3.757576 -1.575758 4.713581 49.375933
-3.757576 -1.494949 4.465443 49.579018
-3.757576 -1.414141 4.230365 49.742923
-3.757576 -1.333333 4.008347 49.867648
-3.757576 -1.252525 3.799389 49.953194
-3.757576 -1.171717 3.603491 49.999560
-3.757576 -1.090909 3.420652 50.006747
-3.757576 -1.010101 3.250874 49.974754
-3.757576 -0.929293 3.094155 49.903581
-3.757576 -0.848485 2.950496 49.793228
-3.757576 -0.767677 2.819897 49.643696
-3.757576 -0.686869 2.702358 49.454984
-3.757576 -0.606061 2.597879 49.227093
-3.757576 -0.525253 2.506460 48.960022
-3.757576 -0.444444 2.428100 48.653771
-3.757576 -0.363636 2.362801 48.308340
-3.757576 -0.282828 2.310561 47.923730
-3.757576 -0.202020 2.271382 47.499940
-3.757576 -0.121212 2.245262 47.036970
-3.757576 -0.040404 2.232202 46.534821
-3.757576 0.040404 2.232202 45.993492
-3.757576 0.121212 2.245262 45.412984
-3.757576 0.202020 2.271382 44.793295
-3.757576 0.282828 2.310561 44.134427
-3.757576 0.363636 2.362801 43.436380
-3.757576 0.444444 2.428100 42.699152
-3.757576 0.525253 2.506460 41.922745
-3.757576 0.606061 2.597879 41.107159
-3.757576 0.686869 2.702358 40.252392
-3.757576 0.767677 2.819897 39.358446
-3.757576 0.848485 2.950496 38.425321
-3.757576 0.929293 3.094155 37.453015
-3.757576 1.010101 3.250874 36.441530
-3.757576 1.090909 3.420652 35.390866
-3.757576 1.171717 3.603491 34.301021
-3.757576 1.252525 3.799389 33.171997
-3.757576 1.333333 4.008347 32.003793
-3.757576 1.414141 4.230365 30.796410
-3.757576 1.494949 4.465443 29.549847
-3.757576 1.575758 4.713581 28.264104
-3.757576 1.656566 4.974779 26.939182
-3.757576 1.737374 5.249037 25.575079
-3.757576 1.818182 5.536355 24.171798
-3.757576 1.898990 5.836732 22.729336
-3.757576 1.979798 6.150170 21.247695
-3.757576 2.060606 6.476667 19.726874
-3.757576 2.141414 6.816224 18.166874
-3.757576 2.222222 7.168841 16.567693
-3.757576 2.303030 7.534518 14.929334
-3.757576 2.383838 7.913255 13.251794
-3.757576 2.464646 8.305052 11.535075
-3.757576 2.545455 8.709908 9.779176
-3.757576 2.626263 9.127825 7.984097
-3.757576 2.707071 9.558801 6.149839
-3.757576 2.787879 10.002838 4.276401
-3.757576 2.868687 10.459934 2.363784
-3.757576 2.949495 10.930090 0.411986
-3.757576 3.030303 11.413306 -1.578991
-3.757576 3.111111 11.909582 -3.609147
-3.757576 3.191919 12.418918 -5.678483
-3.757576 3.272727 12.941313 -7.786999
-3.757576 3.353535 13.476769 -9.934695
-3.757576 3.434343 14.025284 -12.121570
-3.757576 3.515152 14.586860 -14.347625
-3.757576 3.595960 15.161495 -16.612860
-3.757576 3.676768 15.749190 -18.917274
-3.757576 3.757576 16.349945 -21.260868
-3.757576 3.838384 16.963760 -23.643642
-3.757576 3.919192 17.590635 -26.065595
-3.757576 4.000000 18.230569 -28.526729

-3.676768 -4.000000 17.968663 22.717736
-3.676768 -3.919192 17.328728 24.112824
-3.676768 -3.838384 16.701853 25.468733
-3.676768 -3.757576 16.088038 26.785462
-3.676768 -3.676768 15.487283 28.063012
-3.676768 -3.595960 14.899588 29.301381
-3.676768 -3.515152 14.324953 30.500571
-3.676768 -3.434343 13.763377 31.660582
-3.676768 -3.353535 13.214862 32.781413
-3.676768 -3.272727 12.679406 33.863064
-3.676768 -3.191919 12.157011 34.905535
-3.676768 -3.111111 11.647675 35.908827
-3.676768 -3.030303 11.151399 36.872939
-3.676768 -2.949495 10.668183 37.797871
-3.676768 -2.868687 10.198027 38.683624
-3.676768 -2.787879 9.740931 39.530197
-3.676768 -2.707071 9.296894 40.337590
-3.676768 -2.626263 8.865918 41.105804
-3.676768 -2.545455 8.448001 41.834838
-3.676768 -2.464646 8.043145 42.524692
-3.676768 -2.383838 7.651348 43.175367
-3.676768 -2.303030 7.272611 43.786862
-3.676768 -2.222222 6.906934 44.359177
-3.676768 -2.141414 6.554317 44.892313
-3.676768 -2.060606 6.214760 45.386268
-3.676768 -1.979798 5.888263 45.841045
-3.676768 -1.898990 5.574825 46.256641
-3.676768 -1.818182 5.274448 46.633058
-3.676768 -1.737374 4.987130 46.970295
-3.676768 -1.656566 4.712872 47.268353
-3.676768 -1.575758 4.451674 47.527231
-3.676768 -1.494949 4.203537 47.746929
-3.676768 -1.414141 3.968458 47.927448
-3.676768 -1.333333 3.746440 48.068786
-3.676768 -1.252525 3.537482 48.170946
-3.676768 -1.171717 3.341584 48.233925
-3.676768 -1.090909 3.158745 48.257725
-3.676768 -1.010101 2.988967 48.242345
-3.676768 -0.929293 2.832248 48.187786
-3.676768 -0.848485 2.688589 48.094046
-3.676768 -0.767677 2.557990 47.961127
-3.676768 -0.686869 2.440451 47.789029
-3.676768 -0.606061 2.335972 47.577751
-3.676768 -0.525253 2.244553 47.327293
-3.676768 -0.444444 2.166193 47.037655
-3.676768 -0.363636 2.100894 46.708838
-3.676768 -0.282828 2.048654 46.340841
-3.676768 -0.202020 2.009475 45.933664
-3.676768 -0.121212 1.983355 45.487308
