# x1 x2 f1 f2
-2.858586 -2.858586 8.739247 19.860985
-2.858586 -2.787879 8.340002 20.722370
-2.858586 -2.717172 7.950756 21.553757
-2.858586 -2.646465 7.571509 22.355148
-2.858586 -2.575758 7.202261 23.126542
-2.858586 -2.505051 6.843012 23.867939
-2.858586 -2.434343 6.493762 24.579340
-2.858586 -2.363636 6.154510 25.260743
-2.858586 -2.292929 5.825258 25.912149
-2.858586 -2.222222 5.506005 26.533558
-2.858586 -2.151515 5.196751 27.124971
-2.858586 -2.080808 4.897496 27.686386
-2.858586 -2.010101 4.608240 28.217805
-2.858586 -1.939394 4.328982 28.719226
-2.858586 -1.868687 4.059724 29.190651
-2.858586 -1.797980 3.800465 29.632078
-2.858586 -1.727273 3.551205 30.043509
-2.858586 -1.656566 3.311943 30.424943
-2.858586 -1.585859 3.082681 30.776380
-2.858586 -1.515152 2.863418 31.097820
-2.858586 -1.444444 2.654153 31.389263
-2.858586 -1.373737 2.454888 31.650709
-2.858586 -1.303030 2.265622 31.882158
-2.858586 -1.232323 2.086354 32.083610
-2.858586 -1.161616 1.917086 32.255065
-2.858586 -1.090909 1.757816 32.396523
-2.858586 -1.020202 1.608546 32.507985
-2.858586 -0.949495 1.469274 32.589449
-2.858586 -0.878788 1.340002 32.640917
-2.858586 -0.808081 1.220728 32.662387
-2.858586 -0.737374 1.111454 32.653861
-2.858586 -0.666667 1.012178 32.615337
-2.858586 -0.595960 0.922901 32.546817
-2.858586 -0.525253 0.843624 32.448300
-2.858586 -0.454545 0.774345 32.319786
-2.858586 -0.383838 0.715065 32.161275
-2.858586 -0.313131 0.665785 31.972766
-2.858586 -0.242424 0.626503 31.754261
-2.858586 -0.171717 0.597220 31.505760
-2.858586 -0.101010 0.577937 31.227261
-2.858586 -0.030303 0.568652 30.918765
-2.858586 0.040404 0.569366 30.580272
-2.858586 0.111111 0.580079 30.211782
-2.858586 0.181818 0.600791 29.813296
-2.858586 0.252525 0.631503 29.384812
-2.858586 0.323232 0.672213 28.926332
-2.858586 0.393939 0.722922 28.437854
-2.858586 0.464646 0.783630 27.919380
-2.858586 0.535354 0.854337 27.370909
-2.858586 0.606061 0.935043 26.792440
-2.858586 0.676768 1.025748 26.183975
-2.858586 0.747475 1.126452 25.545513
-2.858586 0.818182 1.237155 24.877054
-2.858586 0.888889 1.357857 24.178598
-2.858586 0.959596 1.488558 23.450145
-2.858586 1.030303 1.629258 22.691695
-2.858586 1.101010 1.779957 21.903248
-2.858586 1.171717 1.940655 21.084804
-2.858586 1.242424 2.111352 20.236364
-2.858586 1.313131 2.292047 19.357926
-2.858586 1.383838 2.482742 18.449491
-2.858586 1.454545 2.683436 17.511060
-2.858586 1.525253 2.894129 16.542631
-2.858586 1.595960 3.114821 15.544206
-2.858586 1.666667 3.345511 14.515784
-2.858586 1.737374 3.586201 13.457364
-2.858586 1.808081 3.836890 12.368948
-2.858586 1.878788 4.097577 11.250535
-2.858586 1.949495 4.368264 10.102125
-2.858586 2.020202 4.648950 8.923718
-2.858586 2.090909 4.939634 7.715314
-2.858586 2.161616 5.240318 6.476913
-2.858586 2.232323 5.551001 5.208515
-2.858586 2.303030 5.871682 3.910120
-2.858586 2.373737 6.202363 2.581729
-2.858586 2.444444 6.543042 1.223340
-2.858586 2.515152 6.893721 -0.165046
-2.858586 2.585859 7.254398 -1.583428
-2.858586 2.656566 7.625075 -3.031808
-2.858586 2.727273 8.005750 -4.510184
-2.858586 2.797980 8.396425 -6.018558
-2.858586 2.868687 8.797098 -7.556928
-2.858586 2.939394 9.207770 -9.125295
-2.858586 3.010101 9.628442 -10.723659
-2.858586 3.080808 10.059112 -12.352020
-2.858586 3.151515 10.499781 -14.010379
-2.858586 3.222222 10.950450 -15.698734
-2.858586 3.292929 11.411117 -17.417085
-2.858586 3.363636 11.881783 -19.165434
-2.858586 3.434343 12.362448 -20.943780
-2.858586 3.505051 12.853113 -22.752123
-2.858586 3.575758 13.353776 -24.590463
-2.858586 3.646465 13.864438 -26.458799
-2.858586 3.717172 14.385099 -28.357133
-2.858586 3.787879 14.915759 -30.285463
-2.858586 3.858586 15.456418 -32.243791
-2.858586 3.929293 16.007076 -34.232115
-2.858586 4.000000 16.567734 -36.250437

-2.787879 -3.000000 9.504189 16.609046
-2.787879 -2.929293 9.084946 17.538859
-2.787879 -2.858586 8.675702 18.438675
-2.787879 -2.787879 8.276457 19.308494
-2.787879 -2.717172 7.887211 20.148317
-2.787879 -2.646465 7.507964 20.958142
-2.787879 -2.575758 7.138716 21.737970
-2.787879 -2.505051 6.779467 22.487802
-2.787879 -2.434343 6.430217 23.207636
-2.787879 -2.363636 6.090966 23.897474
-2.787879 -2.292929 5.761714 24.557315
-2.787879 -2.222222 5.442460 25.187158
-2.787879 -2.151515 5.133206 25.787005
-2.787879 -2.080808 4.833951 26.356855
-2.787879 -2.010101 4.544695 26.896708
-2.787879 -1.939394 4.265438 27.406564
-2.787879 -1.868687 3.996179 27.886423
-2.787879 -1.797980 3.736920 28.336285
-2.787879 -1.727273 3.487660 28.756150
-2.787879 -1.656566 3.248399 29.146018
-2.787879 -1.585859 3.019136 29.505890
-2.787879 -1.515152 2.799873 29.835764
-2.787879 -1.444444 2.590609 30.135641
-2.787879 -1.373737 2.391343 30.405522
-2.787879 -1.303030 2.202077 30.645405
-2.787879 -1.232323 2.022809 30.855292
-2.787879 -1.161616 1.853541 31.035182
-2.787879 -1.090909 1.694271 31.185074
-2.787879 -1.020202 1.545001 31.304970
-2.787879 -0.949495 1.405729 31.394869
-2.787879 -0.878788 1.276457 31.454771
-2.787879 -0.808081 1.157183 31.484676
-2.787879 -0.737374 1.047909 31.484584
-2.787879 -0.666667 0.948633 31.454495
-2.787879 -0.595960 0.859357 31.394409
-2.787879 -0.525253 0.780079 31.304326
-2.787879 -0.454545 0.710800 31.184246
-2.787879 -0.383838 0.651521 31.034169
-2.787879 -0.313131 0.602240 30.854096
-2.787879 -0.242424 0.562958 30.644025
-2.787879 -0.171717 0.533676 30.403958
-2.787879 -0.101010 0.514392 30.133893
-2.787879 -0.030303 0.505107 29.833832
-2.787879 0.040404 0.505821 29.503774
-2.787879 0.111111 0.516535 29.143718
-2.787879 0.181818 0.537247 28.753666
-2.787879 0.252525 0.567958 28.333617
-2.787879 0.323232 0.608668 27.883571
-2.787879 0.393939 0.659377 27.403528
-2.787879 0.464646 0.720085 26.893488
-2.787879 0.535354 0.790792 26.353451
-2.787879 0.606061 0.871498 25.783417
-2.787879 0.676768 0.962203 25.183386
-2.787879 0.747475 1.062907 24.553359
-2.787879 0.818182 1.173610 23.893334
-2.787879 0.888889 1.294312 23.203312
-2.787879 0.959596 1.425013 22.483294
-2.787879 1.030303 1.565713 21.733278
-2.787879 1.101010 1.716412 20.953266
-2.787879 1.171717 1.877110 20.143257
-2.787879 1.242424 2.047807 19.303250
-2.787879 1.313131 2.228503 18.433247
-2.787879 1.383838 2.419198 17.533247
-2.787879 1.454545 2.619891 16.603250
-2.787879 1.525253 2.830584 15.643256
-2.787879 1.595960 3.051276 14.653265
-2.787879 1.666667 3.281967 13.633277
-2.787879 1.737374 3.522656 12.583292
-2.787879 1.808081 3.773345 11.503310
-2.787879 1.878788 4.034033 10.393331
-2.787879 1.949495 4.304719 9.253356
-2.787879 2.020202 4.585405 8.083383
-2.787879 2.090909 4.876090 6.883413
-2.787879 2.161616 5.176773 5.653447
-2.787879 2.232323 5.487456 4.393483
-2.787879 2.303030 5.808137 3.103523
-2.787879 2.373737 6.138818 1.783566
-2.787879 2.444444 6.479497 0.433612
-2.787879 2.515152 6.830176 -0.946340
-2.787879 2.585859 7.190853 -2.356288
-2.787879 2.656566 7.561530 -3.796233
-2.787879 2.727273 7.942205 -5.266175
-2.787879 2.797980 8.332880 -6.766114
-2.787879 2.868687 8.733553 -8.296050
-2.787879 2.939394 9.144226 -9.855983
-2.787879 3.010101 9.564897 -11.445912
-2.787879 3.080808 9.995567 -13.065839
-2.787879 3.151515 10.436237 -14.715763
-2.787879 3.222222 10.886905 -16.395683
-2.787879 3.292929 11.347572 -18.105601
-2.787879 3.363636 11.818238 -19.845515
-2.787879 3.434343 12.298904 -21.615427
-2.787879 3.505051 12.789568 -23.415335
-2.787879 3.575758 13.290231 -25.245240
-2.787879 3.646465 13.800893 -27.105143
-2.787879 3.717172 14.321554 -28.995042
-2.787879 3.787879 14.852215 -30.914938
-2.787879 3.858586 15.392874 -32.864831
-2.787879 3.929293 15.943532 -34.844721
-2.787879 4.000000 16.504189 -36.854608

-2.717172 -3.000000 9.441988 15.203929
-2.717172 -2.929293 9.022745 16.141845
-2.717172 -2.858586 8.613501 17.049765
-2.717172 -2.787879 8.214256 17.927687
-2.717172 -2.717172 7.825010 18.775612
-2.717172 -2.646465 7.445763 19.593540
-2.717172 -2.575758 7.076515 20.381472
-2.717172 -2.505051 6.717266 21.139406
-2.717172 -2.434343 6.368016 21.867344
-2.717172 -2.363636 6.028765 22.565284
-2.717172 -2.292929 5.699513 23.233228
-2.717172 -2.222222 5.380260 23.871174
-2.717172 -2.151515 5.071005 24.479124
-2.717172 -2.080808 4.771750 25.057077
-2.717172 -2.010101 4.482494 25.605033
-2.717172 -1.939394 4.203237 26.122992
-2.717172 -1.868687 3.933979 26.610954
-2.717172 -1.797980 3.674719 27.068919
-2.717172 -1.727273 3.425459 27.496887
-2.717172 -1.656566 3.186198 27.894858
-2.717172 -1.585859 2.956935 28.262832
-2.717172 -1.515152 2.737672 28.600809
-2.717172 -1.444444 2.528408 28.908790
-2.717172 -1.373737 2.329142 29.186773
-2.717172 -1.303030 2.139876 29.434759
-2.717172 -1.232323 1.960609 29.652749
-2.717172 -1.161616 1.791340 29.840742
-2.717172 -1.090909 1.632071 29.998737
-2.717172 -1.020202 1.482800 30.126736
-2.717172 -0.949495 1.343529 30.224738
-2.717172 -0.878788 1.214256 30.292742
-2.717172 -0.808081 1.094983 30.330750
-2.717172 -0.737374 0.985708 30.338761
-2.717172 -0.666667 0.886432 30.316775
-2.717172 -0.595960 0.797156 30.264792
-2.717172 -0.525253 0.717878 30.182812
-2.717172 -0.454545 0.648600 30.070836
-2.717172 -0.383838 0.589320 29.928862
-2.717172 -0.313131 0.540039 29.756891
-2.717172 -0.242424 0.500757 29.554923
-2.717172 -0.171717 0.471475 29.322959
-2.717172 -0.101010 0.452191 29.060997
-2.717172 -0.030303 0.442906 28.769039
-2.717172 0.040404 0.443620 28.447084
-2.717172 0.111111 0.454334 28.095131
-2.717172 0.181818 0.475046 27.713182
-2.717172 0.252525 0.505757 27.301236
-2.717172 0.323232 0.546467 26.859293
-2.717172 0.393939 0.597176 26.387352
-2.717172 0.464646 0.657884 25.885415
-2.717172 0.535354 0.728591 25.353482
-2.717172 0.606061 0.809297 24.791551
-2.717172 0.676768 0.900002 24.199623
-2.717172 0.747475 1.000706 23.577698
-2.717172 0.818182 1.111409 22.925776
-2.717172 0.888889 1.232111 22.243858
-2.717172 0.959596 1.362812 21.531942
-2.717172 1.030303 1.503512 20.790029
-2.717172 1.101010 1.654211 20.018120
-2.717172 1.171717 1.814909 19.216214
-2.717172 1.242424 1.985606 18.384310
-2.717172 1.313131 2.166302 17.522410
-2.717172 1.383838 2.356997 16.630513
-2.717172 1.454545 2.557690 15.708618
-2.717172 1.525253 2.768383 14.756727
-2.717172 1.595960 2.989075 13.774839
-2.717172 1.666667 3.219766 12.762954
-2.717172 1.737374 3.460455 11.721072
-2.717172 1.808081 3.711144 10.649194
-2.717172 1.878788 3.971832 9.547318
-2.717172 1.949495 4.242519 8.415445
-2.717172 2.020202 4.523204 7.253575
-2.717172 2.090909 4.813889 6.061709
-2.717172 2.161616 5.114572 4.839845
-2.717172 2.232323 5.425255 3.587985
-2.717172 2.303030 5.745937 2.306127
-2.717172 2.373737 6.076617 0.994273
-2.717172 2.444444 6.417297 -0.347579
-2.717172 2.515152 6.767975 -1.719427
-2.717172 2.585859 7.128653 -3.121272
-2.717172 2.656566 7.499329 -4.553114
