# ИСХОДНЫЕ ТОЧКИ
2.907520 0.960116
2.911960 0.945720
2.916400 0.931324
2.920840 0.916927
2.925280 0.902531
2.929720 0.888135
2.934160 0.873739
2.938600 0.859343
2.943040 0.844947
2.947480 0.830551
2.951920 0.816155
2.956360 0.801759
2.960800 0.787363
2.965240 0.772967
2.969680 0.758571
2.974120 0.744175
2.978560 0.729779
2.983000 0.715383
2.987440 0.700987
2.991880 0.686590
2.996320 0.672194
3.000760 0.657798
3.005200 0.643402
3.009640 0.629006
3.014080 0.614610
3.018520 0.600214
3.022960 0.585818
3.027400 0.571422
3.031840 0.557026
3.036280 0.542630
3.040720 0.528234
3.045160 0.513838
3.049600 0.499442
3.054040 0.485046
3.058480 0.470649
3.062920 0.456253
3.067360 0.441857
3.071800 0.427461
3.076240 0.413065
3.080680 0.398669
3.085120 0.384273
3.089560 0.369877
3.094000 0.355481
3.098440 0.341085
3.102880 0.326689
3.107320 0.312293
3.111760 0.297897
3.116200 0.283501
3.120640 0.269105
3.125080 0.254708
3.129520 0.240312
3.133960 0.225916
3.138400 0.211520
3.142840 0.197124
3.147280 0.182728
3.151720 0.168332
3.156160 0.153936
3.160600 0.139540
3.165040 0.125144
3.169480 0.110748
3.173920 0.096352
3.178360 0.081956
3.182800 0.067560
3.187240 0.053164
3.191680 0.038767
3.196120 0.024371
3.200560 0.009975
3.205000 -0.004421
3.205000 -0.004421
3.207590 -0.219330
3.210180 -0.434240
3.212770 -0.649149
3.215360 -0.864059
3.217950 -1.078968
3.220540 -1.293878
3.223130 -1.508787
3.225720 -1.723697
3.228310 -1.938606
3.230900 -2.153516
3.233490 -2.368425
3.236080 -2.583334
3.238670 -2.798244
3.241260 -3.013153
3.243850 -3.228063
3.246440 -3.442972
3.249030 -3.657882
3.251620 -3.872791
3.254210 -4.087701
3.256800 -4.302610
3.259390 -4.517520
3.261980 -4.732429
3.264570 -4.947339
3.267160 -5.162248
3.269750 -5.377158
3.272340 -5.592067
3.274930 -5.806977
3.277520 -6.021886
3.280110 -6.236796
3.282700 -6.451705
3.285290 -6.666615
3.287880 -6.881524
3.290470 -7.096433
3.293060 -7.311343
3.295650 -7.526252
3.298240 -7.741162
3.300830 -7.956071
3.303420 -8.170981
3.306010 -8.385890
3.308600 -8.600800
3.311190 -8.815709
3.313780 -9.030619
3.316370 -9.245528
3.318960 -9.460438
3.321550 -9.675347
3.324140 -9.890257
3.326730 -10.105166
3.329320 -10.320076
3.331910 -10.534985
3.334500 -10.749895
3.337090 -10.964804
3.339680 -11.179714
3.342270 -11.394623
3.344860 -11.609532
3.347450 -11.824442
3.350040 -12.039351
3.352630 -12.254261
3.355220 -12.469170
3.357810 -12.684080
3.360400 -12.898989
3.362990 -13.113899
3.365580 -13.328808
3.368170 -13.543718
3.370760 -13.758627
3.373350 -13.973537
3.375940 -14.188446
3.378530 -14.403356
3.381120 -14.618265
3.383710 -14.833175
3.386300 -15.048084
3.388890 -15.262994
3.391480 -15.477903
3.394070 -15.692813
3.396660 -15.907722
3.399250 -16.122631
3.401840 -16.337541
3.404430 -16.552450
3.407020 -16.767360
3.409610 -16.982269
3.412200 -17.197179
3.414790 -17.412088
3.417380 -17.626998
3.419970 -17.841907
3.422560 -18.056817
3.425150 -18.271726
3.427740 -18.486636
3.430330 -18.701545
3.432920 -18.916455
3.435510 -19.131364
3.438100 -19.346274
3.440690 -19.561183
3.443280 -19.776093
3.445870 -19.991002
3.448460 -20.205912
3.451050 -20.420821
3.453640 -20.635730
3.456230 -20.850640
3.458820 -21.065549
3.461410 -21.280459
3.464000 -21.495368
3.464000 -21.495368
3.466960 -21.280415
3.469920 -21.065461
3.472880 -20.850507
3.475840 -20.635554
3.478800 -20.420600
3.481760 -20.205646
3.484720 -19.990693
3.487680 -19.775739
3.490640 -19.560785
3.493600 -19.345832
3.496560 -19.130878
3.499520 -18.915924
3.502480 -18.700970
3.505440 -18.486017
3.508400 -18.271063
3.511360 -18.056109
3.514320 -17.841156
3.517280 -17.626202
3.520240 -17.411248
3.523200 -17.196295
3.526160 -16.981341
3.529120 -16.766387
3.532080 -16.551434
3.535040 -16.336480
3.538000 -16.121526
3.540960 -15.906573
3.543920 -15.691619
3.546880 -15.476665
3.549840 -15.261712
3.552800 -15.046758
3.555760 -14.831804
3.558720 -14.616850
3.561680 -14.401897
3.564640 -14.186943
3.567600 -13.971989
3.570560 -13.757036
3.573520 -13.542082
3.576480 -13.327128
3.579440 -13.112175
3.582400 -12.897221
3.585360 -12.682267
3.588320 -12.467314
3.591280 -12.252360
3.594240 -12.037406
3.597200 -11.822453
3.600160 -11.607499
3.603120 -11.392545
3.606080 -11.177592
3.609040 -10.962638
3.612000 -10.747684
3.614960 -10.532731
3.617920 -10.317777
3.620880 -10.102823
3.623840 -9.887869
3.626800 -9.672916
3.629760 -9.457962
3.632720 -9.243008
3.635680 -9.028055
3.638640 -8.813101
3.641600 -8.598147
3.644560 -8.383194
3.647520 -8.168240
3.650480 -7.953286
3.653440 -7.738333
3.656400 -7.523379
3.659360 -7.308425
3.662320 -7.093472
3.665280 -6.878518
3.668240 -6.663564
3.671200 -6.448611
3.674160 -6.233657
3.677120 -6.018703
3.680080 -5.803749
3.683040 -5.588796
3.686000 -5.373842
3.688960 -5.158888
3.691920 -4.943935
3.694880 -4.728981
3.697840 -4.514027
3.700800 -4.299074
3.703760 -4.084120
3.706720 -3.869166
3.709680 -3.654213
3.712640 -3.439259
3.715600 -3.224305
3.718560 -3.009352
3.721520 -2.794398
3.724480 -2.579444
3.727440 -2.364491
3.730400 -2.149537
3.733360 -1.934583
3.736320 -1.719629
